senti_words,score
계급이 오름,2.0
계속 게워,-1.0
계속 공허하다,-1.0
계속 공허한,-1.0
계속 까부는,-1.0
계속 까불다,-1.0
계속 놀리다,-1.0
계속 다투다,-1.0
계속 떠들어,-1.0
계속 밉살스럽게,-1.0
계속 부정하다,-2.0
계속 불평을,-2.0
계속 서운하다,-1.0
계속 서운한,-1.0
계속 성을,-1.0
계속 아첨하는,-1.0
계속 어지럽고,-1.0
계속 쩔쩔매거나,-1.0
계속 토할,-1.0
계속 헤프게,-1.0
계속 흥겹게,2.0
고결 함,2.0
고결한 풍채를,2.0
고귀한,2.0
고귀한 사람,2.0
고급,2.0
고급스럽다,2.0
고급지다,2.0
고까워하는,-1.0
고까워하는 데가,-1.0
고까워하는 태도가,-1.0
고까워하는 태도를,-1.0
고난,-2.0
고단하다,-2.0
고단하여,-2.0
고달프다,-2.0
고도화,-2.0
고도화되다,-2.0
고되다,-2.0
고르고,2.0
고르고 반듯하게,2.0
고르고 야무지다,2.0
고르다,2.0
고르지 못하거나,-1.0
고르지 못한,-1.0
고르지 아니하게,-1.0
고르지 아니하고,-1.0
고르지 않고,-1.0
고름,-1.0
고름이 나오는,-1.0
고름이 생기는,-1.0
고름이 생기다,-1.0
고름집,-1.0
고리게,-1.0
고마운,2.0
고마운 마음,2.0
고마운 마음이,2.0
고마움,2.0
고마움을,2.0
고마움을 깊이,2.0
고마움을 나타내거나,2.0
고마움을 나타내는,2.0
고마워하다,2.0
고맙게,2.0
고맙게 베풀어,2.0
고맙게 여기는,2.0
고맙게 여기다,2.0
고맙게 여김,2.0
고맙다,2.0
고백,2.0
고부라지거나,0.0
고부라지거나 비틀어지며,0.0
고분고분하게,2.0
고분고분하고,2.0
고분고분하고 온순하게,2.0
고분고분하고 온순하다,2.0
고분고분하다,2.0
고분고분하지 못하고,-1.0
고비를,-1.0
고상하고,1.0
고상하다,2.0
고상한,2.0
고상한 기질과,2.0
고상한 남자,1.0
고상한 이야기,1.0
고상한 인품을,2.0
고상한 풍채,2.0
고생스러운,-2.0
고생을,-1.0
고생을 격다,-1.0
고생을 하다,-1.0
고생이나,-1.0
고생하거나,-1.0
고생하거나 두려워하여,-2.0
고생하다,-1.0
고성능,2.0
고소 공포증,-1.0
고약하게,-2.0
고약하다,-2.0
고약함,-2.0
고약해서,-2.0
고열,-1.0
고열 따위로,-1.0
고요하게,1.0
고요하게 함,1.0
고요하고,1.0
고요하고 아름다운,2.0
고요함,1.0
고요해짐,1.0
고운,2.0
고운 빛깔,2.0
고움,2.0
고자질함,-1.0
고작,-1.0
고장나다,-1.0
고지혈증,-1.0
고질병,-1.0
고집,-1.0
고집스레,-1.0
고집스레 싫다고,-1.0
고집을,-1.0
고집을 부리거나,-1.0
고집을 부리는,-1.0
고집을 부림,-1.0
고집이,-1.0
고집이 세어,-1.0
고집이 센,-1.0
고집이 있는,-1.0
고쳐,1.0
고쳐 세우다,1.0
고쳐 지음,1.0
고쳐 짓다,1.0
고충,-2.0
고치기 어려운,-1.0
고치긱 어려운,-1.0
고치다,1.0
고치어 바로잡다,2.0
고타분히,-1.0
고통,-2.0
고통스러운,-2.0
고통스러운 상태,-2.0
고통스러운 일이나,-2.0
고통스럽거나,-2.0
고통스럽게,-2.0
고통스럽게 일함,-2.0
고통스럽다,-2.0
고통을,-2.0
고통을 당하여,-2.0
고통을 이른다,-2.0
고통을 주다,-2.0
고통을 주며,-2.0
고통이,-2.0
고통이 지속되는,-2.0
고통이나,-2.0
고통이나 곤란에,-2.0
고통이나 시달림으로,-2.0
고통이나 어려운,-2.0
고통이라는,-2.0
고통이라는 뜻으로,-2.0
고품질,2.0
고한,-2.0
고함,-1.0
고함을 지르면서,-1.0
고혈압,-1.0
곤궁하고,-2.0
곤궁하다,-2.0
곤궁하여,-1.0
곤궁함,-1.0
곤란에,-1.0
곤란에 대하여,-1.0
곤란이나,-1.0
곤란이나 시련이,-1.0
곤란하게,-1.0
곤란하게 되다,-1.0
곤란하다,-1.0
곤란하여 지는,-1.0
곤란한,-1.0
곤란한 병,-1.0
곤란한 사정을,-1.0
곤란한 상태를,-1.0
곤장으로 치던,-1.0
곤혹스러운,-2.0
곤혹스럽다,-2.0
곧게,1.0
곧게 되다,1.0
곧고,1.0
곧고 올바름,1.0
곧다,1.0
곧바르지 아니하고,-1.0
곧잘 흥분하는,-1.0
곧장 나아가다,1.0
곧지 못하고,-1.0
골골 앓아서,-2.0
골나다,-2.0
골똘하게,0.0
골리는,-2.0
골리는 짓,-2.0
골이 나게,-2.0
곪느라고,-1.0
곪느라고 쑤시다,-1.0
곯려 주다,-1.0
곯리거나,-1.0
곯아서,-1.0
곯아서 물크러질,-1.0
곯은,-1.0
곯은 듯하다,-1.0
곰살갑지 못하며,-1.0
곰살궂지 못하고,-1.0
곰팡내,-1.0
곰팡이,-2.0
곱거나,2.0
곱게,2.0
곱게 꾸며,2.0
곱게 피어나는,2.0
곱게 피어나다,2.0
곱고,2.0
곱고 바르며,2.0
곱고 보드라운,2.0
곱고 보드랍다,2.0
곱고 아름답다,2.0
곱다,2.0
곱살스러우면서도,2.0
곱살스러우면서도 트인,2.0
곱살스럽게,2.0
곱살스레,2.0
곱실대다,-1.0
곱절 용감하다,2.0
곱지 아니하다,-1.0
곱지 않고,-1.0
곳에서 평안히,1.0
공갈,-1.0
공개적으로 비난하다,-2.0
공격받다,-2.0
공격하다,0.0
공경의,2.0
공경의 예를,2.0
공경하는,2.0
공경하는 마음으로,2.0
공경하다,2.0
공경하며,2.0
공경하여,2.0
공경하여 모시다,2.0
공경할,2.0
공경할 만하다,2.0
공공연히 불법적으로,-1.0
공교롭고,-1.0
공교롭고 이상하다,-1.0
공기가 상쾌하다,2.0
공덕으로,2.0
공덕을,2.0
공덕을 칭송하는,2.0
공덕의 힘,2.0
공덕이 있는,1.0
공로에,1.0
공로와,1.0
공로와 업적,1.0
공범자에,-1.0
공손하게,2.0
공손하다,1.0
공손하지 아니하고,-1.0
공손함을,2.0
공손함을 더하여,2.0
공손히,2.0
